num_predictor_bits,branch_prediction_buffer,correct_predictions
0,256,65.0
0,512,65.0
0,768,65.0
0,1024,65.0
1,256,87.0
1,512,87.0
1,768,85.0
1,1024,85.0
2,256,88.0
2,512,88.0
2,768,85.0
2,1024,88.0
3,256,84.0
3,512,84.0
3,768,85.0
3,1024,83.0
