num_predictor_bits,branch_prediction_buffer,correct_predictions
0,256,62.92
0,512,62.92
0,768,62.92
0,1024,62.92
1,256,87.14
1,512,87.75
1,768,88.29
1,1024,88.39
2,256,88.51
2,512,89.93
2,768,90.38
2,1024,90.74
3,256,88.53
3,512,89.19
3,768,89.86
3,1024,91.1
