num_predictor_bits,branch_prediction_buffer,correct_predictions
0,256,58.61
0,512,58.61
0,768,58.61
0,1024,58.61
1,256,87.74
1,512,88.14
1,768,89.08
1,1024,89.12
2,256,87.29
2,512,91.73
2,768,92.16
2,1024,92.12
3,256,89.06
3,512,91.52
3,768,92.08
3,1024,92.62
